indicator,type,description,Msbom,Mnetwork,Mmetadata,Score,Decision
CVE-2024-9380,vulnerability,,0,0,0,0.0,Filter
CVE-2024-8963,vulnerability,,0,0,0,0.0,Filter
CVE-2024-8190,vulnerability,,0,0,0,0.0,Filter
MSIL/Riskware.Rubeus.A,text,,0,0,0,0.0,Filter
Win32/FaceXInjector.A,text,,0,0,0,0.0,Filter
Win32/MirrorFace.A,text,,0,0,0,0.0,Filter
Published,text,,0,0,0,0.0,Filter
"7-Zip Mark-of-the-Web Bypass Vulnerability. This vulnerability allows remote attackers to bypass the Mark-of-the-Web protection mechanism on affected installations of 7-Zip. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file.

The specific flaw exists within the handling of archived files. When extracting files from a crafted archive that bears the Mark-of-the-Web, 7-Zip does not propagate the Mark-of-the-Web to the extracted files. An attacker can leverage this vulnerability to execute arbitrary code in the context of the current user. Was ZDI-CAN-25456.",text,,0,1,0,0.3,Filter
CVE-2025-0411,vulnerability,,0,0,0,0.0,Filter
com.sapp.starcoin,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
com.sapp.chatai,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
com.bs.feifubao,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
com.tonghui.paybank,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
org.safew.messenger.store,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
org.safew.messenger,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
com.bintiger.mall.android,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
com.crownplay.vanity.address,text,Names of Infected Android APKs from Google Play,0,0,0,0.0,Filter
com.crownplay.luckyaddress1,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
xyz.starohm.chat,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.yz.Eternal.new,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.thedgptai.event,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.kh-super.ios.superapp,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.mjb.WorldMiner.new,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
im.token.app,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.customize.authenticator,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.websea.exchange,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.wetink.chat,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
jiujiu.vpntest,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.yz.Byteswap.native,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.bbydqb,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.cgapp2.wallet0,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.usdtone.usdtoneApp2,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
app.ikun277.test,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.feidu.pay,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.ai.sport,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.qqt.jykj,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
njiujiu.vpntest,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.galaxy666888.ios,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.mjb.Hardwood.Test,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.dream.towncn,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.blockchain.98ut,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.blockchain.ogiut,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
app.nicegram,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.ai.gbet,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.ctc.jirepaidui,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.baijia.waimai,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
com.lc.btdj,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
staffs.mil.CoinPark,text,BundleIDs encrypted inside the iOS frameworks,0,0,0,0.0,Filter
